Header
;johnnycash;willienelson;dollyparton;hankwilliams;faithhill;dixiechicks;garthbrooks;kennyrogers;timmcgraw;hanksnow;brooksanddunn;leehazlewood;kennychesney;jimreeves;rogermiller;kriskristofferson;bobdylan;jonimitchell;leonardcohen;joanbaez;townesvanzandt;peteseeger;suzannevega;tracychapman;timbuckley;steeleyespan;woodyguthrie;donovan;catstevens;johndenver;donmclean;crosbystillsnash;milesdavis;davebrubeck;billieholiday;dukeellington;djangoreinhardt;glennmiller;ellafitzgerald;louisarmstrong;natkingcole;herbiehancock;ninasimone;johncoltrane;charlieparker;countbasie;theloniousmonk;cannonballadderley;johnleehooker;muddywaters;tajmahal;johnmayall;bigbillbroonzy;bbking;howlinwolf;williedixon;blindlemonjefferson;blindwilliemctell;mississippijohnhurt;tbonewalker;ettajames;lightninhopkins;otisrush;albertking;jamesbrown;marvingaye;otisredding;solomonburke;samcooke;arethafranklin;algreen;thetemptations;thedrifters;fatsdomino;thesupremes;isaachayes;aliciakeys;erykahbadu;indiaarie;jillscott;ironmaiden;megadeth;slayer;sepultura;blacksabbath;anthrax;alicecooper;deeppurple;defleppard;acdc;judaspriest;kiss;metallica;pantera;queensryche;skidrow;nirvana;beck;smashingpumpkins;radiohead;belleandsebastian;aliceinchains;echoandthebunnymen;sonicyouth;weezer;pearljam;foofighters;hole;bush;thesmiths;depechemode;janesaddiction;pattismith;sexpistols;sidvicious;ramones;badreligion;theclash;nofx;deadkennedys;buzzcocks;greenday;blink182;sum41;themisfits;rancid;screechingweasel;pennywise;eminem;drdre;publicenemy;missyelliot;cypresshill;50cent;rundmc;grandmasterflash;2pac;snoopdogg;jayz;bustarhymes;llcoolj;dmx;icecube;mystikal;aphextwin;daftpunk;kraftwerk;chemicalbrothers;fatboyslim;basementjaxx;carlcox;moloko;pauloakenfold;prodigy;armandvanhelden;moby;massiveattack;mouseonmars;jimitenor;underworld;bobmarley;jimmycliff;petertosh;ziggymarley;seanpaul;alphablondy;shaggy;maxipriest;shabbaranks;ub40;innercircle;desmonddekker;capleton;bountykiller;eddygrant;blackuhuru;therollingstones;theanimals;thefaces;thekinks;thewho;elvispresley;chuckberry;littlerichard;jerryleelewis;buddyholly;bodiddley;billhaley;chubbychecker;theyardbirds;carlperkins;genevincent;madonna;britneyspears;nsync;justintimberlake;abba;michaeljackson;janetjackson;prince;spicegirls;christinaaguilera;robbiewilliams;nellyfurtado;avrillavigne;jenniferlopez;otown;shakira;wolfgangamadeusmozart;ludwigvanbeethoven;johannsebastianbach;josephhaydn;johannesbrahms;fredericchopin;antonindvorak;gustavmahler;franzschubert;antoniovivaldi;richardwagner;herbertvonkarajan;yehudimenuhin;georgfriedrichhaendel;tchaikovsky;giuseppeverdi;
glennmiller;0,004519;0,002896;0,00564;0,008108;0,002434;0,001715;0,00096;0,022926;0,000955;0,000516;0;0,053932;0,000961;0,032985;0,026872;0,002994;0,004269;0,059812;0,006356;0,003839;0,000898;0,001968;0,006838;0,006296;0,064553;0,000958;0,00468;0,00979;0,0063;0,013144;0,01662;0,076515;0,65102;0,645074;0,630733;0,892494;0,768498;1;0,705593;0,791761;0,816733;0,601908;0,5287;0,639505;0,627081;0,926639;0,629875;0,62752;0,094736;0,035182;0,007462;0,02442;0,006858;0,143633;0,020825;0,104219;0,008101;0,007008;0,008267;0,03642;0,380049;0,008665;0,01233;0,020674;0,030325;0,022074;0,037938;0,018356;0,046838;0,232856;0,047623;0,049393;0,079665;0,160889;0,037563;0,022487;0,015186;0,172368;0;0,171658;0;0,001199;0,001351;0;0;0,001311;0,001712;0,000045;0;0,000052;0;0,001402;0,0015;0,001034;0;0,001102;0,001209;0,006694;0,00333;0;0;0,00084;0;0,00152;0,001903;0,001144;0,001519;0,001429;0;0;0;0,001733;0,001827;0;0;0,00152;0,001076;0;0,00115;0,000817;0;0,001824;0,000963;0;0,001256;0,000785;0,000771;0,000741;0,0019;0,000919;0,001399;0;0,001433;0,001372;0,00643;0,001057;0,000975;0,001259;0,001067;0,000689;0,000708;0,000346;0,000867;0,005718;0,00017;0;0;0;0;0,004673;0;0;0;0,001482;0,000371;0,001716;0;0,000263;0,248398;0;0;0;0;0;0;0;0;0,00116;0;0;0;0,001897;0;0;0,001108;0;0,002972;0,032877;0;0,005877;0,001972;0,050127;0,034082;0,050435;0,046023;0,058553;0,029717;0,026002;0,065095;0,006422;0,020826;0,035782;0,002325;0,003768;0;0,002265;0,008841;0,001955;0,006128;0,010718;0;0,018714;0,018226;0;0;0,002105;0,003734;0;0,005476;0,005683;0,004985;0;0,003987;0;0;0,003005;0,004027;0,004613;0,001221;0,000983;0,005288;0;0;0,000444;
ellafitzgerald;0,015085;0,005184;0,13982;0,008733;0,153429;0,148141;0,00033;0,01265;0,000328;0,000233;0;0,056631;0,00033;0,022751;0,015167;0,001266;0,032436;0,245539;0,055231;0,160049;0,011181;0,002852;0,259168;0,267423;0,084334;0,020066;0,023783;0,007115;0,003592;0,006862;0,008189;0,043556;0,805667;0,778296;0,980786;0,838436;0,754509;0,705593;1;0,879958;0,884063;0,728177;0,898685;0,774499;0,767476;0,809916;0,759953;0,775714;0,324609;0,252973;0,223719;0,217756;0,215817;0,394541;0,240063;0,335156;0,207331;0,207144;0,199754;0,251137;0,767376;0,220236;0,214854;0,240856;0,103161;0,078212;0,142792;0,170642;0,103512;0,519781;0,124721;0,089925;0,080875;0,295695;0,190305;0,079654;0,227438;0,409617;0,144686;0,389065;0;0,000412;0,000464;0;0;0,00045;0,000588;0,001499;0;0,001747;0;0,000481;0,000515;0,000355;0;0,000378;0,000415;0,007875;0,001144;0;0,002865;0,000288;0;0,004522;0,000653;0,000393;0,000522;0,142586;0;0;0;0,000595;0,187119;0;0;0,000522;0,00037;0;0,000395;0,00028;0;0,000626;0,000331;0;0,000431;0,000269;0,000265;0,000254;0,000652;0,000315;0,00048;0;0,000492;0,000942;0,002208;0,000363;0,000781;0,000432;0,000855;0,00071;0,001702;0,000119;0,000298;0,008291;0;0;0;0;0;0,008198;0;0,134758;0,002618;0,000509;0,000127;0,00058;0,00303;0;0,298844;0;0;0,003124;0,000614;0;0,000866;0;0,002187;0,000734;0,000474;0;0;0,003;0;0;0,000631;0;0,036686;0,048395;0;0,003345;0,001123;0,038547;0,097631;0,040502;0,034224;0,036385;0,218967;0,015529;0,041712;0,0709;0,023567;0,021754;0,146643;0,132611;0;0,005444;0,038237;0,014637;0,179998;0,034872;0,122727;0,218929;0,011607;0,188512;0,163954;0,141717;0,001282;0,157309;0;0;0;0;0;0;0;0;0;0;0;0;0,000847;0;0;0;
louisarmstrong;0,020593;0,008217;0,006144;0,013285;0,002198;0,001549;0,003208;0,032898;0,004482;0,000734;0;0,08715;0,001648;0,045439;0,035572;0,004556;0,040966;0,078205;0,065018;0,022429;0,013515;0,005196;0,007728;0,035838;0,092472;0,001212;0,029365;0,017738;0,00872;0,016801;0,020484;0,096721;0,895412;0,820365;0,86923;0,908121;0,82067;0,791761;0,879958;1;0,94159;0,766933;0,786296;0,816121;0,811712;0,879968;0,801185;0,819036;0,368629;0,292284;0,260477;0,252627;0,25156;0,440943;0,278252;0,377692;0,242601;0,241899;0,233926;0,28911;0,659691;0,257683;0,249455;0,277985;0,107922;0,076212;0,159881;0,179271;0,122986;0,400486;0,124484;0,105608;0,133097;0,360137;0,086332;0,075305;0,055358;0,255927;0,046828;0,252776;0;0,001082;0,00122;0;0;0,001184;0,001731;0,001915;0;0,002035;0;0,001266;0,001354;0,000933;0;0,000995;0,001092;0,009881;0,003007;0,000165;0;0,000758;0;0,001372;0,00189;0,00124;0,001372;0,00129;0;0,00027;0,000161;0,001721;0,001696;0;0,000356;0,001372;0,000972;0;0,001039;0,000737;0;0,001812;0,001044;0;0,001134;0,000708;0,000696;0,000669;0,001921;0,000885;0,001263;0;0,001294;0,001797;0,005806;0,000954;0,001527;0,001137;0,001413;0,000996;0,001791;0,000312;0,000783;0,009378;0;0;0;0;0;0,005907;0;0;0;0,001339;0,000335;0,001356;0;0;0,314345;0;0,00017;0,002546;0,000484;0;0,001195;0,00008;0,002588;0,001466;0,000747;0,00024;0,000083;0,004482;0;0;0,003612;0,000076;0,045912;0,075766;0;0,011339;0,004659;0,075749;0,12965;0,075652;0,067392;0,075796;0,257036;0,029468;0,084212;0,088944;0,038353;0,045298;0,00224;0,004839;0;0,01084;0,011059;0,013843;0,020674;0,032658;0,000071;0,03745;0,018486;0,000821;0;0,002903;0,003821;0,000653;0;0;0;0;0;0;0;0;0;0;0;0;0,002228;0;0;0;
natkingcole;0,019728;0,008568;0,007921;0,015574;0,004645;0,0026;0,00671;0,057166;0,009805;0,001217;0;0,103984;0,003074;0,073378;0,061213;0,007124;0,036522;0,07466;0,055785;0,022688;0,011159;0,006551;0,010089;0,022408;0,086672;0,001962;0,025188;0,028739;0,016262;0,026981;0,030707;0,16139;0,789452;0,772876;0,857193;0,885981;0,80457;0,816733;0,884063;0,94159;1;0,720437;0,733248;0,759645;0,753844;0,866221;0,756776;0,760321;0,315447;0,242438;0,21125;0,209871;0,204275;0,378912;0,228111;0,322234;0,19858;0,196795;0,191051;0,238592;0,604023;0,210483;0,203612;0,226458;0,083769;0,053517;0,13529;0,130161;0,119665;0,349684;0,092933;0,103822;0,182563;0,360198;0,090215;0,049153;0,033563;0,214776;0,014555;0,21342;0;0,000807;0,00091;0;0,00006;0,000883;0,001672;0,001681;0,000115;0,001714;0;0,000944;0,00101;0,000696;0;0,000742;0,000815;0,00949;0,002243;0,000513;0,0011;0,000566;0;0,001024;0,002029;0,001285;0,001087;0,001023;0,000047;0,001258;0,000902;0,001556;0,001274;0;0;0,001024;0,000725;0,000126;0,000775;0,00055;0,00007;0,002048;0,001135;0,000116;0,000846;0,000528;0,000584;0,000499;0,002432;0,000619;0,000942;0;0,000966;0,001964;0,004331;0,000712;0,000876;0,001007;0,001078;0,000697;0,001073;0,000291;0,000633;0,006907;0;0,000123;0,000067;0;0,000124;0,006499;0;0,000636;0,000056;0,000998;0,000375;0,002086;0,000063;0,000078;0,293981;0,000062;0;0,000919;0,00015;0;0,002017;0;0,004492;0,004318;0,001045;0,002162;0,000311;0,005533;0;0;0,009486;0;0,041564;0,094295;0;0,020416;0,00826;0,113422;0,134695;0,115311;0,104576;0,127156;0,218973;0,054583;0,127541;0,080922;0,057632;0,079686;0,008092;0,009588;0,006215;0,021741;0,023826;0,013434;0,015564;0,024494;0,006647;0,032991;0,033318;0,006638;0,004419;0,007782;0,010619;0,004685;0,004534;0,00472;0,001119;0;0,004699;0,007165;0;0,002952;0,007861;0,001145;0,002232;0,00029;0,002493;0,002161;0;0,002418;
herbiehancock;0,002133;0,001021;0,001184;0,001111;0,000858;0,000605;0,000338;0,000637;0,000336;0,000159;0;0,02646;0,000339;0,00788;0,000745;0,000684;0,003964;0,073177;0,011459;0,002048;0,00141;0,0005;0,006369;0,009644;0,08068;0;0,002921;0,000173;0;0,000972;0,001948;0;0,859646;0,868948;0,70997;0,809978;0,699773;0,601908;0,728177;0,766933;0,720437;1;0,656353;0,789747;0,764841;0,775037;0,851341;0,780431;0,129562;0,056901;0,024951;0,043137;0,023877;0,194058;0,041316;0,144073;0,022865;0,023053;0,022289;0,056379;0,472029;0,024431;0,03042;0,044428;0,277907;0,120742;0,043154;0,040816;0,020192;0,2907;0,157812;0,114315;0,00713;0,156447;0,013873;0,218809;0,038665;0,256291;0,007616;0,244216;0;0,000422;0,000476;0;0;0,000462;0,000603;0,000165;0;0,000192;0;0,000494;0,000529;0,000364;0;0,000388;0,000426;0,018304;0,001174;0,013266;0,000384;0,000296;0;0,004687;0,000671;0,000403;0,000535;0,000504;0;0,000263;0,031639;0,008449;0,00069;0;0;0,000536;0,000379;0;0,000405;0,000288;0;0,000643;0,000339;0;0,000443;0,000277;0,000272;0,000261;0,00067;0,000648;0,000493;0,123582;0,000505;0,000544;0,002266;0,025073;0,000401;0,002551;0,000439;0,000304;0,000437;0,000122;0,002242;0,013115;0,034904;0,04458;0,044609;0,045627;0,043946;0,045075;0,022905;0,033598;0,028157;0,039839;0,025239;0,040693;0,024021;0,00471;0,390969;0,039015;0;0,000401;0,000079;0,003082;0,000444;0,002342;0,000281;0;0,000061;0;0;0,000246;0;0;0,003885;0;0,003915;0,00906;0;0;0;0,002144;0,014839;0,009558;0,017096;0,001051;0,046907;0,00026;0,011631;0,007523;0,001565;0,000391;0,009835;0,002656;0;0,002195;0,000341;0,076227;0,012509;0,235269;0,000417;0,02322;0,007203;0,000534;0;0,000885;0,001755;0,004707;0,032088;0,022467;0,009883;0;0,016599;0,059991;0;0,00278;0,046569;0,004268;0,00113;0,00091;0,003479;0;0;0,00041;
ninasimone;0,035198;0,02009;0,141831;0,020097;0,146311;0,142338;0,004459;0,010461;0,000436;0,003645;0;0,082039;0,00117;0,021537;0,020593;0,019559;0,066823;0,256489;0,103166;0,182014;0,040923;0,024369;0,266505;0,394746;0,116687;0,024245;0,052697;0,033287;0,027593;0,023135;0,027276;0,034333;0,726961;0,700139;0,908498;0,708072;0,608332;0,5287;0,898685;0,786296;0,733248;0,656353;1;0,691022;0,691912;0,665783;0,682822;0,699031;0,393219;0,335422;0,322629;0,287325;0,294998;0,459207;0,323496;0,405651;0,282818;0,283464;0,273857;0,335405;0,906015;0,300068;0,28921;0,338413;0,320628;0,360159;0,461379;0,495333;0,409378;0,779417;0,427196;0,336034;0,252672;0,338164;0,407341;0,344771;0,442755;0,626835;0,444922;0,592541;0;0,000547;0,000617;0;0;0,000599;0,000782;0,00228;0;0,002379;0;0,00064;0,000685;0,000472;0;0,000503;0,000552;0,020303;0,001521;0,000093;0,003866;0,000384;0;0,004473;0,000869;0,000523;0,000694;0,134982;0;0,00019;0;0,000791;0,190365;0;0,0003;0,000694;0,000492;0;0,000525;0,000373;0;0,000833;0,00044;0;0,000574;0,000358;0,000352;0,000338;0,001157;0,000466;0,000639;0;0,000655;0,0035;0,002937;0,000483;0,003415;0,000575;0,00352;0,003201;0,009219;0,000158;0,000396;0,019337;0,000136;0,000111;0;0;0,000112;0,007469;0,000049;0,128123;0,003028;0,000733;0,000169;0,002915;0,005031;0,00021;0,265157;0,000167;0,00136;0,019182;0,004285;0,00014;0,005278;0,000067;0,013335;0,000716;0,002887;0,000135;0,00007;0,013357;0;0;0,000808;0,000064;0,052772;0,061459;0;0,009182;0,004425;0,041044;0,121635;0,061449;0,031844;0,030726;0,343789;0,007419;0,044054;0,101375;0,022082;0,013554;0,140071;0,127859;0;0,029484;0,035036;0,086513;0,259135;0,14589;0,116224;0,289499;0,010177;0,192213;0,1563;0,141732;0,002084;0,155766;0,002918;0,001858;0,000569;0;0,001394;0,006478;0;0;0,004627;0;0;0;0,001127;0;0,000755;0;
johncoltrane;0,002776;0,001238;0,001257;0,001416;0,000911;0,000642;0,000359;0,000677;0,000357;0,000169;0;0,028786;0,000359;0,008441;0,000791;0,000726;0,00553;0,076333;0,014149;0,002717;0,001924;0,000606;0,00676;0,007543;0,086262;0;0,004061;0,000244;0;0,001031;0,002067;0;0,886198;0,858529;0,756834;0,819178;0,744149;0,639505;0,774499;0,816121;0,759645;0,789747;0,691022;1;0,936502;0,778287;0,890147;0,952779;0,146117;0,068762;0,034628;0,053423;0,033738;0,214951;0,052455;0,161422;0,032308;0,03252;0,031392;0,068177;0,500372;0,034465;0,040364;0,052075;0,032582;0,015834;0,025115;0,030772;0,010918;0,295094;0,050942;0,020959;0,000953;0,163492;0,006558;0,022348;0,018499;0,225049;0;0,224158;0;0,000448;0,000505;0;0;0,000491;0,00064;0,000233;0;0,000272;0;0,000524;0,000561;0,000387;0;0,000412;0,000452;0,007907;0,001246;0,000741;0;0,000314;0;0,006539;0,000712;0,000428;0,000568;0,000535;0;0;0;0,000756;0,001367;0;0;0,000569;0,000403;0;0,00043;0,000305;0;0,000683;0,00036;0;0,00047;0,000294;0,000288;0,000277;0,000711;0,000344;0,000523;0;0,000536;0,000513;0,002406;0,000395;0,000365;0,000471;0,000399;0,000258;0,000265;0,000129;0,000325;0,006559;0,004172;0,000068;0,001998;0;0;0,006119;0;0,000059;0;0,000555;0,000139;0,000983;0,00014;0,004827;0,326352;0,000068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005541;0,010585;0;0;0;0,002483;0,018734;0,001369;0,002098;0,001068;0,044535;0,000276;0,012185;0,010647;0,002076;0,000415;0,00087;0,00141;0;0,000847;0;0,000732;0,006329;0,013176;0;0,022576;0,007145;0;0;0,000752;0,001397;0,000677;0,009049;0,009387;0,008237;0;0,006526;0;0;0,004919;0,006591;0,00755;0,001999;0,001609;0,00554;0;0;0,000726;
charlieparker;0,007468;0,002836;0,001818;0,003792;0,001317;0,000928;0,00052;0,000979;0,000517;0,000244;0;0,035994;0,00052;0,008213;0,001144;0,00105;0,016056;0,074118;0,030314;0,0076;0,005668;0,001389;0,00692;0,01086;0,082589;0;0,01189;0,000765;0;0,001492;0,002991;0;0,887022;0,830094;0,760648;0,806729;0,72111;0,627081;0,767476;0,811712;0,753844;0,764841;0,691912;0,936502;1;0,766698;0,886918;0,964961;0,215498;0,1406;0,10795;0,117754;0,105455;0,285017;0,126125;0,229406;0,100984;0,101378;0,097603;0,139772;0,528903;0,10744;0,108988;0,125295;0,04929;0,019375;0,044022;0,063189;0,015793;0,304079;0,057672;0,023944;0,001786;0,203519;0,007072;0,028735;0,019288;0,218171;0;0,217004;0;0,000649;0,000731;0;0;0,00071;0,000926;0,000732;0;0,000852;0;0,000759;0,000812;0,000559;0;0,000596;0,000655;0,007921;0,001802;0;0;0,000454;0;0,000822;0,00103;0,000619;0,000822;0,000773;0;0;0;0,001146;0,000989;0;0;0,000823;0,000582;0;0,000622;0,000442;0;0,000987;0,000521;0;0,00068;0,000425;0,000417;0,000401;0,001028;0,000497;0,000757;0,003329;0,000776;0,000743;0,00348;0,001144;0,000528;0,000738;0,000578;0,000373;0,000383;0,000187;0,000522;0,006683;0,000161;0,000132;0;0;0,000132;0,006018;0;0;0;0,000802;0,000268;0,001016;0;0,000249;0,314771;0;0;0;0;0,000083;0;0;0;0;0;0;0;0;0;0;0;0;0,017366;0,019171;0;0;0;0,006036;0,04436;0,003722;0,005159;0,001872;0,106945;0,000466;0,012478;0,03337;0,005807;0,0006;0,001258;0,002039;0;0,001226;0;0,003034;0,006539;0,019326;0;0,022805;0,007097;0;0;0,001087;0,002021;0,00005;0,005269;0,005464;0,004796;0;0,003776;0;0;0,002846;0,003814;0,004369;0,001157;0,000931;0,004007;0;0;0,00042;
countbasie;0,006563;0,002365;0,00131;0,003569;0,000843;0,000594;0,000333;0,001958;0,000331;0,000235;0;0,033422;0,000333;0,009155;0,002417;0,00074;0,014028;0,072261;0,027273;0,006669;0,004949;0,001193;0,006261;0,00978;0,078797;0,000061;0,010324;0,0013;0,00039;0,001612;0,00262;0,004884;0,799693;0,833256;0,761085;0,991786;0,827065;0,926639;0,809916;0,879968;0,866221;0,775037;0,665783;0,778287;0,766698;1;0,822002;0,771068;0,199078;0,126963;0,095571;0,106086;0,093422;0,265416;0,112918;0,212445;0,089535;0,089752;0,086427;0,126197;0,503585;0,095199;0,097188;0,11226;0,052803;0,021512;0,041837;0,057492;0,017025;0,290726;0,057825;0,027074;0,007058;0,20095;0,008669;0,032476;0,027838;0,210372;0;0,208971;0;0,000415;0,000468;0;0;0,000454;0,000593;0,000648;0;0,000756;0;0,000486;0,00052;0,000358;0;0,000382;0,000419;0,007266;0,001154;0;0;0,000291;0;0,000527;0,000659;0,000396;0,000526;0,000495;0;0;0;0,001001;0,000633;0;0;0,000527;0,000373;0;0,000399;0,000283;0;0,000632;0,000334;0;0,000435;0,000272;0,000267;0,000257;0,000658;0,000318;0,000485;0,006394;0,000497;0,000476;0,002228;0,001464;0,000338;0,000545;0,00037;0,000239;0,000245;0,00012;0,000401;0,006418;0,000052;0,000253;0;0;0,000254;0,005893;0;0;0;0,000514;0,000257;0,000585;0;0,00008;0,30312;0;0;0;0;0,000159;0;0;0;0,000074;0;0;0;0,000121;0;0;0,000071;0;0,015516;0,019187;0;0,000375;0,000126;0,008622;0,041937;0,012394;0,020741;0,007954;0,09709;0,007867;0,016826;0,029861;0,00891;0,005568;0,000806;0,001306;0;0,000785;0,000558;0,004472;0,00607;0,023837;0;0,021437;0,015551;0;0;0,000696;0,001294;0;0,023797;0,015821;0,005829;0;0,011785;0,049144;0;0,000911;0,036318;0,001398;0,00037;0,000298;0,00171;0;0;0,000134;
theloniousmonk;0,002361;0,000909;0,000615;0,001155;0,000446;0,000314;0,000176;0,000331;0,000175;0,000083;0;0,025978;0,000176;0,007818;0,000387;0,000355;0,005121;0,076577;0,013854;0,002395;0,001779;0,000445;0,006213;0,00707;0,080952;0;0,003759;0,000239;0;0,000505;0,001012;0;0,881473;0,935535;0,741737;0,863781;0,730183;0,629875;0,759953;0,801185;0,756776;0,851341;0,682822;0,890147;0,886918;0,822002;1;0,867295;0,142992;0,06708;0,03374;0,052311;0,032954;0,210477;0,051193;0,157979;0,031557;0,031686;0,030512;0,066675;0,489802;0,033581;0,039524;0,050822;0,031771;0,015359;0,024361;0,030057;0,010376;0,288737;0,049647;0,020326;0,00057;0,169773;0,006247;0,021677;0,034076;0,220235;0;0,219371;0;0,00022;0,000247;0;0;0,00024;0,000314;0,000229;0;0,000266;0;0,000257;0,000275;0,000189;0;0,000202;0,000222;0,007382;0,00061;0,000726;0;0,000154;0;0,004315;0,000349;0,00021;0,000278;0,000262;0;0;0;0,000423;0,000382;0;0;0,000278;0,000197;0;0,000211;0,00015;0;0,000334;0,000176;0;0,00023;0,000144;0,000141;0,000136;0,000348;0,000168;0,000256;0;0,000263;0,000251;0,001178;0,000194;0,000179;0,000231;0,000195;0,000126;0,00013;0,000063;0,000159;0,006241;0,003214;0,000067;0,001014;0;0;0,005991;0;0,000058;0;0,000272;0,000068;0,000481;0,000138;0,004473;0,319913;0,000067;0;0;0;0;0;0,000162;0;0;0;0;0;0;0;0;0;0;0,005426;0,010365;0;0;0;0,001925;0,017936;0,00896;0,023008;0,000618;0,043251;0,000203;0,011298;0,010426;0,00183;0,000203;0,000426;0,00069;0;0,000415;0;0,000358;0,005865;0,012662;0;0,021687;0,007207;0;0;0,000368;0,000684;0,000663;0,041545;0,028156;0,01111;0,000803;0,020927;0,084872;0;0,002328;0,062442;0,003424;0,001253;0,00063;0,00226;0;0;0,000782;
cannonballadderley;0,006245;0,002281;0,001235;0,003013;0,000895;0,000631;0,000353;0,000665;0,000351;0,000166;0;0,033085;0,000353;0,00792;0,000777;0,000713;0,013583;0,075344;0,027049;0,006408;0,00483;0,001117;0,006642;0,010006;0,083113;0;0,010011;0,00066;0;0,001013;0,002031;0;0,881565;0,846333;0,767117;0,812612;0,729258;0,62752;0,775714;0,819036;0,760321;0,780431;0,699031;0,952779;0,964961;0,771068;0,867295;1;0,20261;0,126237;0,092975;0,104979;0,090871;0,272795;0,111268;0,216974;0,087018;0,087315;0,084023;0,125454;0,52822;0,092536;0,095181;0,110462;0,040883;0,016585;0,039886;0,056559;0,014592;0,305063;0,054446;0,021511;0,0013;0,196816;0,006854;0,023408;0,018971;0,221118;0;0,220243;0;0,000441;0,000497;0;0;0,000482;0,000629;0,000631;0;0,000735;0;0,000515;0,000551;0,00038;0;0,000405;0,000445;0,007407;0,001224;0;0;0,000309;0;0,000559;0,000699;0,000421;0,000558;0,000525;0;0;0;0,000637;0,000671;0;0;0,000559;0,000396;0;0,000423;0,0003;0;0,000671;0,000354;0;0,000462;0,000288;0,000283;0,000272;0,000698;0,000338;0,000514;0;0,000527;0,000505;0,002364;0,000388;0,000359;0,000463;0,000392;0,000253;0,00026;0,000127;0,000319;0,006444;0;0;0;0;0;0,006012;0;0;0;0,000545;0,000136;0,000552;0;0;0,319763;0;0;0;0;0;0;0,000081;0;0;0;0;0;0;0;0;0;0;0,014972;0,017503;0;0;0;0,00493;0,038925;0,003058;0,004226;0,001383;0,093971;0,000271;0,011972;0,028769;0,004897;0,000407;0,000855;0,001385;0;0,000833;0;0,000719;0,006218;0,013187;0;0,022673;0,007021;0;0;0,000739;0,001373;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000907;0;0;0;
johnleehooker;0,068639;0,020546;0,003558;0,027192;0,003905;0,000826;0,002311;0,00731;0,001746;0,001044;0;0,091467;0,002867;0,007512;0,008951;0,005978;0,151486;0,027629;0,214914;0,073548;0,049932;0,01334;0,009337;0,049349;0,060688;0,003399;0,095582;0,029903;0,023673;0,012736;0,03169;0,010853;0,218818;0,147063;0,452646;0,226824;0,153722;0,094736;0,324609;0,368629;0,315447;0,129562;0,393219;0,146117;0,215498;0,199078;0,142992;0,20261;1;0,957132;0,894682;0,809568;0,97344;0,945642;0,953593;0,900195;0,941845;0,946905;0,916402;0,956876;0,616203;0,978336;0,87271;0,942516;0,141941;0,022521;0,241391;0,400884;0,070468;0,269885;0,076089;0,026514;0,028704;0,574303;0,019449;0,027627;0,016598;0,030888;0,015974;0,030595;0,005074;0,001692;0,000867;0,000479;0,015631;0,001346;0,024386;0,037111;0,023;0,032885;0,005269;0,022601;0,00745;0,001658;0,006006;0,009405;0,012339;0,020563;0,012951;0,012732;0,002654;0,009618;0;0,009167;0,01917;0,014466;0,022445;0,010865;0,016001;0,007189;0,003668;0,017458;0,021349;0,006405;0,001819;0,011046;0,005041;0,012764;0,003764;0,002594;0,004771;0,014691;0,00717;0,009941;0,000242;0,003096;0,001633;0,004205;0,001244;0,000354;0,000471;0;0,001794;0,000793;0,001238;0,000203;0,000438;0,000666;0,000411;0,000199;0,000136;0,000266;0,000334;0,001337;0,000172;0,000632;0,000228;0;0,001271;0,001385;0;0,000182;0,000191;0,000713;0,000071;0,002313;0,000434;0,000266;0,043639;0,000634;0,003531;0,000175;0,000086;0,000532;0,000546;0;0,000766;0,000165;0,000133;0,001875;0,000533;0,001413;0;0;0,001257;0,000244;0,185185;0,15184;0,016814;0,040132;0,040149;0,071062;0,344819;0,044712;0,050845;0,027666;0,773258;0,013291;0,024135;0,317073;0,049932;0,009459;0,002014;0,001854;0;0,002471;0,002792;0,003764;0,002326;0,019047;0,000456;0,012205;0,011324;0,002846;0,014348;0,000709;0,003594;0,008249;0;0;0;0;0;0;0;0;0;0;0;0;0,000611;0;0;0;
