Header
;Johnny Cash;Willie Nelson;Dolly Parton;Hank Williams;Faith Hill;Dixie Chicks;Garth Brooks;Kenny Rogers;Tim McGraw;Hank Snow;Brooks and Dunn;Lee Hazlewood;Kenny Chesney;Jim Reeves;Roger Miller;Kris Kristofferson;Bob Dylan;Joni Mitchell;Leonard Cohen;Joan Baez;Townes van Zandt;Pete Seeger;Suzanne Vega;Tracy Chapman;Tim Buckley;Steeleye Span;Woody Guthrie;Donovan;Cat Stevens;John Denver;Don McLean;Crosby Stills & Nash;Miles Davis;Dave Brubeck;Billie Holiday;Duke Ellington;Django Reinhardt;Glenn Miller;Ella Fitzgerald;Louis Armstrong;Nat King Cole;Herbie Hancock;Nina Simone;John Coltrane;Charlie Parker;Count Basie;Thelonious Monk;Cannonball Adderley;John Lee Hooker;Muddy Waters;Taj Mahal;John Mayall;Big Bill Broonzy;BB King;Howlin' Wolf;Willie Dixon;Blind Lemon Jefferson;Blind Willie McTell;Mississippi John Hurt;T-Bone Walker;Etta James;Lightnin' Hopkins;Otis Rush;Albert King;James Brown;Marvin Gaye;Otis Redding;Solomon Burke;Sam Cooke;Aretha Franklin;Al Green;The Temptations;The Drifters;Fats Domino;The Supremes;Isaac Hayes;Alicia Keys;Erykah Badu;India Arie;Jill Scott;Iron Maiden;Megadeth;Slayer;Sepultura;Black Sabbath;Anthrax;Alice Cooper;Deep Purple;Def Leppard;AC/DC;Judas Priest;Kiss;Metallica;Pantera;Queensryche;Skid Row;Nirvana;Beck;Smashing Pumpkins;Radiohead;Belle and Sebastian;Alice in Chains;Echo and the Bunnymen;Sonic Youth;Weezer;Pearl Jam;Foo Fighters;Hole;Bush;The Smiths;Depeche Mode;Jane's Addiction;Patti Smith;Sex Pistols;Sid Vicious;Ramones;Bad Religion;The Clash;NoFX;Dead Kennedys;Buzzcocks;Green Day;Blink 182;Sum 41;The Misfits;Rancid;Screeching Weasel;Pennywise;Eminem;Dr. Dre;Public Enemy;Missy Elliot;Cypress Hill;50 Cent;Run DMC;Grandmaster Flash;2Pac;Snoop Dogg;Jay-Z;Busta Rhymes;LL Cool J;DMX;Ice Cube;Mystikal;Aphex Twin;Daft Punk;Kraftwerk;Chemical Brothers;Fatboy Slim;Basement Jaxx;Carl Cox;Moloko;Paul Oakenfold;Prodigy;Armand van Helden;Moby;Massive Attack;Mouse on Mars;Jimi Tenor;Underworld;Bob Marley;Jimmy Cliff;Peter Tosh;Ziggy Marley;Sean Paul;Alpha Blondy;Shaggy;Maxi Priest;Shabba Ranks;UB40;Inner Circle;Desmond Dekker;Capleton;Bounty Killer;Eddy Grant;Black Uhuru;The Rolling Stones;The Animals;The Faces;The Kinks;The Who;Elvis Presley;Chuck Berry;Little Richard;Jerry Lee Lewis;Buddy Holly;Bo Diddley;Bill Haley;Chubby Checker;The Yardbirds;Carl Perkins;Gene Vincent;Madonna;Britney Spears;N'Sync;Justin Timberlake;ABBA;Michael Jackson;Janet Jackson;Prince;Spice Girls;Christina Aguilera;Robbie Williams;Nelly Furtado;Avril Lavigne;Jennifer Lopez;O-Town;Shakira;Wolfgang Amadeus Mozart;Ludwig van Beethoven;Johann Sebastian Bach;Joseph Haydn;Johannes Brahms;Frederic Chopin;Antonin Dvorak;Gustav Mahler;Franz Schubert;Antonio Vivaldi;Richard Wagner;Herbert von Karajan;Yehudi Menuhin;Georg Friedrich Haendel;Tchaikovsky;Giuseppe Verdi;
BB King;,054902;,016616;,0;,025329;,0;,0;,0;,0;,0;,0;,0;,079567;,0;,001633;,0;,0;,129063;,022607;,207575;,058349;,045896;,008139;,001273;,04165;,05049;,0;,095118;,006554;,0;,0;,0;,0;,291733;,215962;,526374;,296555;,174921;,143633;,394541;,440943;,378912;,194058;,459207;,214951;,285017;,265416;,210477;,272795;,945642;,923238;,920216;,82426;,901019;1,0;,936095;,938488;,862818;,864191;,830107;,919953;,673921;,915871;,868419;,929314;,14429;,019245;,240808;,414195;,062053;,297452;,078865;,018631;,005682;,595244;,007681;,027162;,016136;,048265;,0;,048077;,0;,0;,0;,0;,0;,0;,0;,006265;,0;,007299;,0;,0;,0;,0;,0;,0;,0;,007897;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,001329;,0;,0;,0;,0;,0;,001314;,0;,0;,0;,0;,0;,0;,0;,0;,069841;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,14872;,112257;,0;,0;,0;,038873;,321554;,026731;,033786;,00521;,786948;,0;,002315;,285776;,044586;,0;,0;,0;,0;,0;,0;,0;,001213;,009211;,0;,012272;,001534;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;
Howlin' Wolf;,057951;,01724;,001391;,025133;,002054;,000752;,001309;,002905;,001766;,000264;,0;,079501;,001403;,002137;,001976;,001587;,132844;,00956;,203477;,059691;,044892;,008839;,001976;,044593;,038072;,0011;,092847;,010168;,005705;,003758;,010761;,0;,124026;,052701;,371744;,13566;,038317;,020825;,240063;,278252;,228111;,041316;,323496;,052455;,126125;,112918;,051193;,111268;,953593;,992121;,897561;,804178;,939296;,936095;1,0;,964792;,908006;,913137;,879377;,948591;,584416;,944388;,941237;,944559;,157932;,039966;,262854;,430475;,089671;,25844;,094925;,029809;,036364;,588081;,019613;,042652;,021544;,013558;,011446;,01295;,001711;,000934;,000701;,000162;,005271;,000851;,008801;,01628;,007756;,015784;,001777;,008053;,00298;,000872;,002025;,003505;,004553;,010784;,005448;,004333;,000848;,003516;,0;,003453;,007102;,005274;,008062;,004104;,005396;,002473;,001276;,006468;,006657;,00216;,000614;,004218;,002026;,004304;,001643;,001113;,001609;,005566;,002751;,003352;,000489;,001299;,000751;,001658;,001036;,000417;,000613;,0;,001047;,000802;,002504;,000411;,000507;,000613;,000554;,000336;,000483;,000202;,000394;,000902;,000058;,000213;,000077;,0;,000428;,000318;,0;,000061;,000065;,000722;,000145;,001243;,000146;,00009;,006898;,000214;,001099;,000443;,000087;,000179;,00043;,0;,000775;,0;,000201;,00069;,00018;,000408;,0;,0;,000874;,000082;,157667;,120677;,008504;,01042;,011887;,047601;,322606;,035834;,037402;,01071;,802518;,003882;,00421;,291528;,045107;,00187;,001358;,001794;,0;,003455;,000502;,004037;,004471;,014738;,000154;,011454;,004761;,000517;,004753;,001565;,002505;,002276;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,000961;,0;,0;,0;
Willie Dixon;,089632;,048495;,02382;,049603;,002316;,002285;,013065;,005334;,001453;,010574;,0;,134842;,002651;,004255;,021479;,048752;,174339;,077061;,275182;,10457;,107585;,051748;,057132;,094885;,120808;,0;,1346;,060427;,060161;,043478;,051476;,0;,233338;,162267;,462138;,241922;,130494;,104219;,335156;,377692;,322234;,144073;,405651;,161422;,229406;,212445;,157979;,216974;,900195;,961304;,877054;,782156;,861746;,938488;,964792;1,0;,825046;,827997;,794632;,884806;,623237;,876384;,939616;,901756;,144671;,027583;,24209;,403471;,07342;,275453;,082612;,021322;,023045;,585191;,013405;,032817;,035698;,038472;,000987;,038092;,0;,000228;,000257;,0;,0;,00025;,000391;,006174;,0;,007609;,0;,000467;,000285;,000197;,0;,00021;,00023;,041342;,000634;,000058;,001657;,00016;,0;,000337;,000422;,00029;,000289;,000272;,0;,000663;,000057;,000385;,039677;,0;,0;,000289;,000205;,0;,000219;,000155;,0;,000405;,000244;,0;,000239;,000149;,000147;,000141;,001302;,000175;,000266;,0;,000273;,000326;,001224;,000201;,000186;,00024;,000203;,000131;,000135;,000066;,000165;,001133;,0;,0;,0;,0;,0;,000934;,0;,0;,0;,000282;,000071;,000286;,0;,0;,049758;,0;,003222;,000087;,00102;,0;,00018;,0;,000303;,0;,000131;,000084;,0;,001264;,0;,0;,001709;,0;,144819;,111562;,0;,005357;,002697;,049149;,327892;,05028;,051758;,029423;,778986;,025224;,024408;,276094;,057248;,014764;,002213;,001673;,0;,002227;,000736;,001563;,003737;,012906;,0;,013592;,006252;,020774;,002997;,000637;,001816;,017793;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,00047;,0;,0;,0;
Blind Lemon Jefferson;,099516;,057627;,023011;,048714;,001462;,019631;,000952;,00391;,001376;,000651;,0;,131879;,000433;,003223;,04106;,039101;,197691;,084919;,255342;,144706;,115468;,109982;,045475;,090215;,101701;,089281;,185285;,088979;,082438;,062472;,061639;,076202;,09825;,03246;,329988;,110044;,025756;,008101;,207331;,242601;,19858;,022865;,282818;,032308;,100984;,089535;,031557;,087018;,941845;,904145;,850923;,738752;,969811;,862818;,908006;,825046;1,0;,990269;,960002;,919764;,513252;,959004;,793258;,859235;,12503;,015398;,215019;,370342;,057229;,212824;,062384;,015304;,010911;,51016;,008041;,020988;,011472;,000127;,004673;,00012;,0;,000216;,000243;,0;,0;,000236;,00037;,006184;,0;,006878;,0;,000253;,00027;,000186;,0;,000199;,000218;,022911;,0006;,000055;,008238;,000151;,0;,000502;,0004;,000275;,000274;,000258;,0;,00009;,000054;,000364;,000988;,0;,0;,000274;,000194;,0;,000207;,000147;,0;,000384;,000231;,0;,000226;,000141;,000139;,000133;,000411;,000166;,000252;,0;,000258;,000309;,001159;,00019;,000176;,000227;,000192;,000124;,000128;,000062;,000156;,000179;,0;,0;,0;,0;,0;,0;,0;,0;,0;,000267;,000067;,000271;,0;,0;,000116;,0;,0;,0;,0;,002322;,00017;,0;,000287;,000077;,000124;,00008;,0;,000189;,0;,0;,000809;,0;,133896;,101353;,0;,001171;,000131;,038818;,292967;,027584;,033702;,009537;,708825;,001397;,004675;,25731;,041409;,002397;,000419;,000679;,0;,002109;,000581;,000634;,000327;,006672;,0;,007296;,001583;,02582;,0;,000362;,001869;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,000445;,0;,0;,0;
Blind Willie McTell;,11349;,073847;,028885;,062526;,002197;,022217;,002946;,002448;,001551;,002283;,0;,147221;,00078;,002201;,045779;,057449;,214651;,102494;,272304;,162569;,143289;,136709;,056991;,104864;,118402;,10198;,215572;,104671;,100931;,07669;,075019;,081411;,098488;,032673;,330083;,110219;,023439;,007008;,207144;,241899;,196795;,023053;,283464;,03252;,101378;,089752;,031686;,087315;,946905;,908958;,858728;,739706;,981233;,864191;,913137;,827997;,990269;1,0;,972571;,916223;,513658;,955838;,793819;,861434;,124901;,015062;,214142;,370932;,055461;,212597;,062175;,013332;,006179;,50818;,006098;,021021;,013387;,00051;,005695;,00048;,0;,000433;,000488;,0;,0;,000473;,00068;,006081;,0;,006823;,0;,000506;,000542;,000373;,0;,000398;,000437;,028388;,001202;,000055;,009691;,000303;,0;,000731;,000744;,000482;,000548;,000516;,0;,000135;,000054;,000678;,004522;,0;,0;,000549;,000388;,0;,000415;,000295;,0;,000713;,000406;,0;,000454;,000283;,000278;,000267;,000823;,000332;,000505;,0;,000517;,000557;,002321;,000381;,000352;,000454;,000385;,000249;,000256;,000125;,000313;,000418;,0;,0;,0;,0;,0;,0;,0;,0;,0;,000535;,000134;,000542;,0;,0;,000116;,0;,000255;,0;,000081;,002658;,000171;,0;,000287;,0;,000124;,00008;,0;,000126;,0;,0;,000811;,0;,133918;,099708;,0;,000949;,0;,036434;,291648;,024685;,031479;,006462;,709953;,000333;,002081;,257311;,040873;,000467;,000979;,001436;,0;,002521;,000058;,001059;,000818;,007155;,0;,007928;,001862;,031197;,000237;,000725;,002846;,001808;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,000891;,0;,0;,0;
Mississippi John Hurt;,163792;,114398;,053234;,089143;,003587;,041938;,002247;,002508;,000497;,00235;,0;,206671;,000666;,002749;,081791;,094484;,295935;,20677;,339357;,258731;,22129;,240221;,10619;,194265;,190185;,189915;,321691;,192655;,222924;,16872;,139935;,156401;,094682;,031618;,317822;,106399;,029173;,008267;,199754;,233926;,191051;,022289;,273857;,031392;,097603;,086427;,030512;,084023;,916402;,87809;,868394;,711381;,971936;,830107;,879377;,794632;,960002;,972571;1,0;,880481;,494138;,935139;,765652;,828817;,120478;,015022;,20716;,357366;,055655;,205163;,060536;,015033;,010841;,491063;,008068;,020583;,013234;,000613;,040014;,000634;,0;,000693;,000781;,0;,0;,000758;,00095;,006166;,0;,006743;,0;,00079;,000832;,000597;,0;,000637;,000629;,045562;,001732;,0;,019939;,000437;,0;,001142;,001045;,000661;,00079;,000805;,0;,000043;,0;,000951;,005384;,0;,0;,000791;,000622;,0;,000598;,000495;,0;,001002;,000557;,0;,000654;,000408;,000535;,000385;,00112;,000478;,000728;,0;,000808;,000773;,003344;,00055;,000564;,000709;,000555;,000418;,000368;,00018;,000451;,001663;,0;,0;,0;,0;,0;,0;,0;,0;,0;,000771;,000193;,000846;,0;,0;,0;,0;,000245;,0;,000077;,004948;,0;,0;,0;,000074;,0;,0;,0;,000182;,0;,0;,000142;,0;,128942;,097451;,0;,002091;,000126;,039024;,284072;,026712;,033203;,010749;,683035;,001536;,005497;,247779;,04048;,002626;,001411;,002105;,0;,001178;,000615;,001153;,001152;,0071;,0;,008012;,000265;,056582;,000228;,001103;,005539;,008298;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,001406;,0;,0;,0;
T-Bone Walker;,056801;,017112;,001121;,025003;,001547;,000654;,000275;,001723;,000273;,000172;,0;,076726;,000916;,00124;,001773;,000814;,130831;,011504;,199436;,060921;,044379;,008343;,001692;,04667;,039726;,001683;,090884;,013312;,006996;,003547;,012086;,0;,138623;,068584;,379402;,149266;,055393;,03642;,251137;,28911;,238592;,056379;,335405;,068177;,139772;,126197;,066675;,125454;,956876;,930024;,877448;,785775;,939961;,919953;,948591;,884806;,919764;,916223;,880481;1,0;,60182;,969189;,84549;,948133;,177072;,062715;,28973;,451717;,117551;,281582;,121803;,044482;,06871;,61585;,034751;,061659;,029336;,026072;,020431;,024971;,001675;,000685;,000429;,000158;,005567;,000583;,008615;,016947;,007657;,015658;,001822;,008083;,002631;,000657;,001982;,003221;,004227;,010181;,004698;,004183;,00083;,003281;,0;,003138;,006529;,004872;,007602;,003745;,005282;,002325;,001192;,005946;,006864;,003445;,003228;,005143;,001778;,004642;,001389;,001012;,002047;,005042;,002448;,003281;,00024;,001122;,000588;,001482;,000579;,000292;,000333;,0;,000751;,000523;,001226;,000201;,000682;,00036;,000475;,000263;,00054;,000132;,00022;,001135;,000057;,000209;,000377;,0;,000419;,000436;,0;,00006;,000063;,000424;,000071;,00093;,000143;,000088;,013258;,000209;,001345;,00104;,000255;,000175;,00036;,000084;,000759;,0;,000131;,000675;,000352;,000999;,0;,0;,000078;,000161;,157224;,122269;,008325;,014504;,014683;,047807;,319615;,042688;,037733;,014044;,811588;,00753;,007801;,28746;,047186;,005282;,001034;,002554;,0;,001799;,003809;,005591;,007601;,018361;,000226;,013541;,003204;,00065;,004652;,001851;,001582;,002917;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,00047;,0;,0;,0;
Etta James;,041554;,013718;,13573;,019056;,150449;,142018;,001317;,013643;,000626;,000808;,0;,082773;,002063;,024148;,017951;,004306;,091531;,221483;,135744;,186543;,031043;,008701;,251396;,399112;,087285;,021019;,059839;,02651;,013901;,011263;,021059;,043715;,552706;,503101;,807767;,541796;,435185;,380049;,767376;,659691;,604023;,472029;,906015;,500372;,528903;,503585;,489802;,52822;,616203;,573014;,570953;,504765;,53726;,673921;,584416;,623237;,513252;,513658;,494138;,60182;1,0;,545028;,520494;,623726;,422154;,436227;,615337;,691581;,518103;,845708;,518939;,390899;,353734;,559916;,455995;,41005;,493738;,615516;,467858;,579692;,002446;,001287;,000806;,000297;,00616;,001095;,010332;,015107;,009907;,014611;,001866;,009741;,004366;,001233;,003722;,005083;,007742;,016299;,00882;,007853;,005193;,00606;,0;,009336;,012333;,008873;,014225;,142622;,009882;,004544;,002522;,011162;,190774;,004018;,002678;,00621;,003338;,006301;,002607;,001705;,003203;,009684;,004634;,006242;,00045;,002106;,00115;,002782;,001587;,00084;,000626;,002201;,001411;,005771;,002301;,000756;,004034;,001577;,006025;,004235;,018798;,001113;,000483;,020123;,000106;,000566;,000377;,000144;,000962;,007101;,0;,128948;,002649;,000796;,000266;,002463;,003091;,00022;,187326;,000437;,001907;,020673;,004104;,000384;,018272;,000053;,026263;,012693;,003085;,001954;,000661;,014927;,0;,0;,001997;,000201;,112227;,114667;,005209;,028705;,021974;,069498;,223255;,097843;,050236;,049047;,635625;,01951;,057965;,197864;,042151;,02437;,145441;,134042;,004403;,062191;,043101;,103429;,301193;,17129;,122237;,313257;,017269;,19903;,168266;,171052;,008859;,15866;,000925;,000971;,000347;,0;,000364;,0;,0;,000209;,000315;,000811;,000255;,000205;,001472;,001531;,0;,000417;
Lightnin' Hopkins;,073287;,032682;,010124;,035304;,001397;,006891;,001378;,002767;,000365;,001037;,0;,100721;,000551;,002333;,015525;,016409;,154957;,042887;,225738;,091009;,074645;,043721;,021285;,071629;,062077;,027087;,128048;,037892;,042861;,03197;,026428;,026963;,104378;,034627;,350506;,117142;,053998;,008665;,220236;,257683;,210483;,024431;,300068;,034465;,10744;,095199;,033581;,092536;,978336;,946652;,894918;,788234;,979064;,915871;,944388;,876384;,959004;,955838;,935139;,969189;,545028;1,0;,858874;,926879;,132787;,016421;,228321;,392096;,061076;,226135;,066546;,016381;,011582;,541583;,008718;,022494;,014187;,000541;,024141;,000509;,0;,000459;,000517;,0;,0;,000502;,000655;,007877;,0;,008065;,0;,000536;,000574;,000395;,0;,000422;,000463;,015106;,001274;,0;,003192;,000321;,0;,001357;,000728;,000438;,000581;,000547;,0;,000048;,0;,000663;,004193;,0;,0;,000582;,000412;,0;,00044;,000312;,0;,000698;,000369;,0;,000481;,0003;,000295;,000283;,0008;,000351;,000535;,0;,000548;,000525;,00246;,000404;,000373;,000482;,000408;,000264;,000271;,000132;,000332;,000633;,0;,0;,0;,0;,0;,0;,0;,0;,0;,000567;,000142;,000575;,0;,0;,0;,0;,00027;,0;,000085;,000704;,0;,0;,0;,000082;,0;,0;,0;,000201;,0;,0;,000156;,0;,142871;,107519;,0;,00071;,000139;,041681;,319461;,02928;,036204;,010768;,75547;,001554;,005844;,274492;,044096;,002685;,001038;,001522;,0;,000867;,000678;,000823;,000867;,008085;,0;,008402;,000292;,009571;,000251;,000769;,002143;,003194;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,000944;,0;,0;,0;
Otis Rush;,087095;,039014;,023342;,04566;,025335;,023523;,026333;,027659;,02618;,024532;,018749;,088816;,028434;,022664;,025557;,022273;,149602;,015452;,197321;,068634;,052744;,009903;,003673;,041869;,042036;,004794;,092808;,026701;,02768;,030939;,041488;,0;,107072;,040635;,337865;,117927;,065718;,01233;,214854;,249455;,203612;,03042;,28921;,040364;,108988;,097188;,039524;,095181;,87271;,955419;,874395;,830759;,838368;,868419;,941237;,939616;,793258;,793819;,765652;,84549;,520494;,858874;1,0;,905886;,127692;,016624;,217664;,372669;,056476;,21697;,063977;,018021;,009629;,513414;,009923;,021422;,011356;,002367;,017838;,002167;,006362;,001302;,000489;,000451;,023789;,00095;,03514;,054886;,031857;,046845;,008337;,032418;,007983;,00131;,005648;,010772;,011822;,015718;,011575;,012082;,002627;,009121;,0;,008436;,017911;,013879;,021037;,010088;,015197;,007301;,003557;,016312;,019603;,009072;,004063;,015477;,004481;,016885;,003331;,002513;,005159;,01354;,006451;,009348;,0;,002769;,001256;,00382;,000619;,000166;,00019;,0;,001362;,000373;,0;,0;,000177;,000342;,000193;,0;,0;,000188;,000157;,000419;,000162;,000595;,000501;,0;,001195;,000592;,0;,000171;,00018;,000403;,0;,001835;,000408;,00025;,003148;,000596;,004171;,000165;,000081;,0005;,000342;,0;,000432;,000155;,0;,002484;,000585;,000569;,0;,0;,000443;,000229;,19852;,173635;,10277;,049943;,055775;,074681;,33406;,037165;,049181;,022728;,734751;,013634;,011895;,364483;,051842;,006086;,001263;,000909;,0;,000205;,005076;,003115;,001039;,017199;,000429;,008365;,008367;,001029;,013254;,000182;,002704;,006347;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;
Albert King;,058589;,016955;,001462;,02487;,00298;,000829;,000557;,001049;,000554;,000175;,0;,078148;,001672;,001022;,000817;,001201;,131881;,010337;,202863;,058977;,044623;,008148;,003555;,059527;,041185;,001365;,092022;,008833;,00585;,001732;,006972;,0;,123303;,05232;,369973;,134677;,075084;,020674;,240856;,277985;,226458;,044428;,338413;,052075;,125295;,11226;,050822;,110462;,942516;,932915;,907093;,81957;,908119;,929314;,944559;,901756;,859235;,861434;,828817;,948133;,623726;,926879;,905886;1,0;,214803;,100966;,333677;,498161;,159044;,313609;,163059;,073811;,096105;,643623;,055455;,100085;,059683;,050083;,059825;,047374;,002265;,00139;,00087;,000321;,004269;,001183;,007943;,016041;,00816;,017356;,001176;,007588;,004408;,001332;,004021;,004971;,008261;,013936;,009529;,008367;,001683;,006494;,0;,006855;,012998;,009439;,015272;,007459;,010606;,004235;,002302;,01206;,010796;,003018;,001066;,004848;,003606;,005359;,002817;,001736;,003034;,01011;,004966;,006656;,000486;,002275;,001192;,003006;,001175;,000592;,000676;,003568;,001524;,001658;,002486;,001021;,000943;,001034;,001582;,000866;,004176;,000535;,000503;,002686;,000115;,000565;,000153;,0;,000993;,000632;,0;,000122;,000128;,00086;,000215;,001887;,00029;,000178;,007781;,000424;,001455;,002198;,000432;,000445;,004753;,0;,005234;,00347;,000333;,000685;,000357;,001487;,0;,0;,0;,000163;,158638;,124005;,021107;,00873;,009553;,046027;,333588;,047862;,035884;,011836;,852162;,004568;,005628;,302796;,04478;,002;,001798;,002428;,0;,012772;,000623;,015727;,025403;,038889;,000458;,025547;,005834;,00381;,009437;,010618;,003369;,004519;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,000954;,0;,0;,0;
James Brown;,024252;,007493;,00569;,007423;,007718;,002285;,002996;,016376;,002833;,000963;,0;,038716;,004241;,021037;,016921;,006617;,046609;,018466;,047769;,025759;,011609;,006353;,010953;,217979;,044258;,00602;,017782;,028263;,027047;,01778;,044092;,038616;,050784;,03294;,096348;,046538;,027177;,030325;,103161;,107922;,083769;,277907;,320628;,032582;,04929;,052803;,031771;,040883;,141941;,145634;,168009;,12879;,131863;,14429;,157932;,144671;,12503;,124901;,120478;,177072;,422154;,132787;,127692;,214803;1,0;,790291;,677842;,662208;,640581;,605337;,849591;,702985;,436157;,233354;,449698;,954371;,456862;,562843;,532841;,511388;,005923;,002311;,001165;,000632;,017184;,001863;,027254;,032571;,027201;,028491;,005489;,026458;,009224;,00215;,00831;,012915;,016076;,02758;,017235;,016793;,004417;,01259;,001802;,011296;,025391;,018695;,029597;,014246;,021044;,013187;,007931;,040618;,027285;,011692;,00977;,016773;,006661;,016535;,005019;,003728;,007922;,019668;,009481;,013205;,001912;,00412;,002112;,005579;,002256;,001165;,001171;,280892;,002345;,008513;,001957;,050655;,005543;,00709;,008825;,005981;,029214;,001789;,004973;,038213;,000272;,014946;,001746;,0;,015908;,015682;,001462;,002682;,002573;,001297;,008866;,004972;,000629;,000561;,094395;,002896;,004366;,028525;,005848;,007706;,029599;,000135;,039935;,020684;,004461;,00593;,001476;,019472;,0;,0;,007891;,000385;,068326;,078513;,023265;,045478;,044409;,066287;,084908;,104688;,036616;,048842;,331238;,020061;,052379;,084666;,019374;,020018;,013037;,014083;,005618;,097513;,024088;,314903;,223767;,723556;,009072;,178056;,02471;,030461;,022769;,059892;,01282;,015925;,001181;,001239;,000443;,0;,000465;,0;,0;,000267;,000402;,001035;,000325;,000262;,001503;,001953;,0;,000532;
Marvin Gaye;,014193;,008037;,010622;,006689;,015899;,008045;,005468;,021199;,004477;,001891;,0;,040823;,004264;,028867;,023788;,010596;,026047;,02189;,021323;,024269;,010525;,009434;,023733;,290507;,039336;,00479;,009453;,033504;,031811;,025163;,050271;,066098;,019995;,016209;,04516;,019785;,014123;,022074;,078212;,076212;,053517;,120742;,360159;,015834;,019375;,021512;,015359;,016585;,022521;,032921;,057939;,023163;,017057;,019245;,039966;,027583;,015398;,015062;,015022;,062715;,436227;,016421;,016624;,100966;,790291;1,0;,862045;,792333;,837473;,754874;,921983;,961777;,616068;,168701;,807311;,869753;,628375;,681952;,726522;,636492;,001612;,000535;,000528;,0;,010319;,000586;,014908;,020793;,012827;,013514;,003639;,014674;,001859;,000346;,000435;,004368;,00081;,011799;,001116;,000868;,005772;,000492;,001983;,000764;,002709;,00115;,001018;,000957;,000371;,007589;,005685;,008368;,012368;,008668;,0124;,011519;,000421;,007529;,000385;,001162;,003251;,002954;,000753;,000577;,002104;,000263;,000646;,000248;,004137;,001333;,000996;,11436;,00048;,013045;,002154;,022;,007351;,005166;,013225;,008776;,044007;,002663;,002373;,037893;,000149;,005258;,002319;,0;,005282;,009149;,000054;,003583;,000888;,000497;,003045;,007924;,00239;,000617;,040231;,00049;,002205;,038853;,008306;,002852;,045766;,000148;,064346;,039079;,006121;,011641;,002166;,026168;,0;,0;,014837;,000071;,0339;,061313;,032914;,039578;,031766;,062103;,038087;,111962;,033435;,049834;,243553;,013974;,065745;,041435;,0132;,02116;,0357;,040879;,030908;,164267;,052094;,293449;,320946;,507331;,03451;,266158;,043951;,0671;,02246;,108079;,0394;,027636;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,000827;,0;,0;,0;
Otis Redding;,030501;,013627;,011009;,01355;,005676;,002658;,004081;,040109;,004311;,00128;,0;,093553;,002807;,058025;,056146;,007974;,073807;,022926;,068673;,084771;,016847;,012344;,00932;,308616;,05876;,003002;,029357;,106167;,030216;,025265;,043422;,10484;,043815;,027217;,1389;,052302;,019422;,037938;,142792;,159881;,13529;,043154;,461379;,025115;,044022;,041837;,024361;,039886;,241391;,245858;,275172;,222971;,225493;,240808;,262854;,24209;,215019;,214142;,20716;,28973;,615337;,228321;,217664;,333677;,677842;,862045;1,0;,942694;,947198;,858314;,891546;,808788;,756969;,382075;,766291;,767466;,608743;,665155;,765408;,626345;,002593;,001061;,000877;,000147;,01047;,001006;,016431;,024197;,013805;,017058;,00377;,014772;,003826;,000976;,001842;,004814;,004641;,009807;,005544;,004264;,002056;,003495;,0;,003275;,00747;,005539;,007802;,004175;,005054;,003483;,001898;,007519;,011045;,003128;,000697;,006797;,002033;,0069;,001697;,001301;,001682;,006031;,002843;,003171;,000668;,00132;,000887;,001639;,002154;,00103;,000805;,016341;,001206;,009783;,003416;,003368;,00691;,00223;,010016;,007692;,031294;,001408;,000819;,032629;,000053;,00097;,00014;,0;,001169;,001912;,0;,000613;,000117;,000919;,000657;,00246;,000133;,000163;,011348;,000259;,001916;,042293;,007992;,000571;,028411;,0;,045055;,01771;,006473;,002901;,000491;,036832;,0;,0;,005712;,000075;,115159;,188328;,011601;,125112;,079405;,121838;,146354;,175022;,084464;,096248;,468766;,029815;,185745;,192613;,041414;,051555;,008648;,011122;,006537;,108312;,017981;,206404;,270419;,328863;,00776;,234027;,021444;,031885;,009203;,057528;,012124;,008377;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,001311;,0;,0;,0;
